id,created_at,email,name,country,gender,education,school,dob,age
29,2024-07-14 01:51:29,user29@example.com,User 29,Ghana,Female,Master,St. Augustine's College,1996-09-28,28
30,2023-12-26 01:51:29,user30@example.com,User 30,Tanzania,Female,Master,Mfantsipim School,1998-01-02,26
31,2024-09-13 01:51:29,user31@example.com,User 31,Rwanda,Male,High School,Holy Child School,1986-08-29,38
32,2024-04-04 01:51:29,user32@example.com,User 32,South Africa,Male,PhD,Opoku Ware School,1960-02-14,64
33,2024-08-12 01:51:29,user33@example.com,User 33,Nigeria,Female,PhD,Mfantsipim School,1998-09-22,26
34,2024-02-18 01:51:29,user34@example.com,User 34,Kenya,Female,Master,Achimota School,1963-04-29,61
35,2023-10-01 01:51:29,user35@example.com,User 35,Nigeria,Male,High School,Adisadel College,1992-09-14,32
36,2024-02-10 01:51:29,user36@example.com,User 36,Uganda,Male,PhD,Holy Child School,1983-07-05,41
37,2024-04-20 01:51:29,user37@example.com,User 37,Ghana,Male,Bachelor,St. James Seminary,1955-02-10,69
38,2024-04-06 01:51:29,user38@example.com,User 38,Nigeria,Female,Bachelor,St. Augustine's College,1971-12-23,52
39,2024-04-27 01:51:29,user39@example.com,User 39,Ghana,Male,PhD,Holy Child School,1960-11-09,63
40,2024-03-31 01:51:29,user40@example.com,User 40,Ghana,Male,High School,Prempeh College,1971-04-01,53
41,2024-03-15 01:51:29,user41@example.com,User 41,Rwanda,Female,Master,St. Augustine's College,1957-04-13,67
42,2023-12-25 01:51:29,user42@example.com,User 42,Uganda,Female,Bachelor,Mfantsipim School,1984-10-17,39
43,2024-01-27 01:51:29,user43@example.com,User 43,Ethiopia,Female,Bachelor,St. James Seminary,1998-03-12,26
44,2024-03-04 01:51:29,user44@example.com,User 44,Ethiopia,Male,Master,Presec Legon,1971-10-27,52
45,2024-02-22 01:51:29,user45@example.com,User 45,Tanzania,Male,High School,Presec Legon,1981-02-12,43
46,2024-07-14 01:51:29,user46@example.com,User 46,Ghana,Male,Master,Presec Legon,2002-10-19,21
47,2024-08-26 01:51:29,user47@example.com,User 47,Uganda,Male,High School,Mfantsipim School,1988-05-20,36
48,2023-12-07 01:51:29,user48@example.com,User 48,Rwanda,Female,High School,St. Augustine's College,1988-11-17,35
49,2024-03-14 01:51:29,user49@example.com,User 49,Ethiopia,Male,Master,Presec Legon,2002-05-28,22
50,2024-03-21 01:51:29,user50@example.com,User 50,Nigeria,Female,High School,Presec Legon,1978-08-26,46
51,2024-09-19 01:51:29,user51@example.com,User 51,Tanzania,Male,Master,St. James Seminary,1958-09-21,66
52,2024-02-29 01:51:29,user52@example.com,User 52,South Africa,Male,Master,St. James Seminary,1993-08-30,31
53,2024-03-05 01:51:29,user53@example.com,User 53,Ghana,Male,Master,St. James Seminary,1961-06-14,63
54,2024-05-17 01:51:29,user54@example.com,User 54,Ghana,Male,High School,Mfantsipim School,1987-12-13,36
55,2023-11-23 01:51:29,user55@example.com,User 55,Rwanda,Male,Bachelor,Achimota School,1982-07-22,42
56,2024-05-12 01:51:29,user56@example.com,User 56,Rwanda,Female,PhD,Adisadel College,1989-03-29,35
57,2023-12-12 01:51:29,user57@example.com,User 57,Rwanda,Male,Bachelor,Wesley Girls High School,1979-01-17,45
58,2024-09-07 01:51:29,user58@example.com,User 58,South Africa,Female,Master,Holy Child School,1971-04-04,53
59,2024-03-20 01:51:29,user59@example.com,User 59,Nigeria,Male,High School,St. James Seminary,1994-03-15,30
60,2023-11-01 01:51:29,user60@example.com,User 60,Kenya,Male,Master,Presec Legon,2004-10-26,19
61,2024-09-21 01:51:29,user61@example.com,User 61,Uganda,Female,Master,Achimota School,1964-04-02,60
62,2024-09-14 01:51:29,user62@example.com,User 62,Nigeria,Male,Bachelor,St. James Seminary,1982-10-16,41
63,2024-07-29 01:51:29,user63@example.com,User 63,Tanzania,Male,PhD,Holy Child School,1977-08-31,47
64,2024-04-19 01:51:29,user64@example.com,User 64,Ghana,Female,Master,Opoku Ware School,2000-02-02,24
65,2024-03-25 01:51:29,user65@example.com,User 65,Kenya,Female,Bachelor,Achimota School,2000-08-18,24
66,2024-04-16 01:51:29,user66@example.com,User 66,South Africa,Male,Bachelor,Achimota School,1986-05-22,38
67,2024-02-22 01:51:29,user67@example.com,User 67,Ghana,Female,High School,Presec Legon,1965-05-17,59
68,2023-10-16 01:51:29,user68@example.com,User 68,Ghana,Female,Master,Wesley Girls High School,2005-09-05,19
69,2024-02-27 01:51:29,user69@example.com,User 69,Kenya,Male,Bachelor,St. James Seminary,1992-03-20,32
70,2024-03-07 01:51:29,user70@example.com,User 70,Tanzania,Female,Bachelor,Opoku Ware School,1965-08-07,59
71,2024-07-06 01:51:29,user71@example.com,User 71,South Africa,Male,High School,Adisadel College,1982-01-05,42
72,2023-10-27 01:51:29,user72@example.com,User 72,Nigeria,Male,PhD,St. James Seminary,1969-08-03,55
73,2023-12-21 01:51:29,user73@example.com,User 73,Nigeria,Female,Master,St. Augustine's College,1971-07-03,53
74,2024-01-23 01:51:29,user74@example.com,User 74,Tanzania,Female,PhD,Presec Legon,1982-10-07,42
75,2024-01-27 01:51:29,user75@example.com,User 75,Ghana,Female,High School,Prempeh College,1989-01-25,35
76,2024-07-29 01:51:29,user76@example.com,User 76,Tanzania,Female,Bachelor,St. Augustine's College,1985-10-27,38
77,2023-10-30 01:51:29,user77@example.com,User 77,Kenya,Female,PhD,Presec Legon,2004-11-15,19
78,2023-10-31 01:51:29,user78@example.com,User 78,Rwanda,Female,High School,St. James Seminary,1996-06-12,28
79,2024-05-07 01:51:29,user79@example.com,User 79,South Africa,Female,High School,St. Augustine's College,1976-06-05,48
80,2024-09-19 01:51:29,user80@example.com,User 80,Rwanda,Female,Master,Prempeh College,1956-11-11,67
81,2024-08-01 01:51:29,user81@example.com,User 81,Kenya,Male,Bachelor,Presec Legon,1959-02-06,65
82,2023-10-24 01:51:29,user82@example.com,User 82,Ethiopia,Male,Master,Holy Child School,1967-08-27,57
83,2024-08-31 01:51:29,user83@example.com,User 83,Ethiopia,Male,Bachelor,Opoku Ware School,1993-09-10,31
84,2024-04-19 01:51:29,user84@example.com,User 84,Ethiopia,Female,Master,Achimota School,1974-04-27,50
85,2024-06-12 01:51:29,user85@example.com,User 85,Ghana,Male,Bachelor,Prempeh College,2002-12-23,21
86,2024-05-27 01:51:29,user86@example.com,User 86,Ghana,Female,High School,Opoku Ware School,1966-05-14,58
87,2024-01-11 01:51:29,user87@example.com,User 87,Nigeria,Female,PhD,Prempeh College,1979-07-14,45
88,2024-04-05 01:51:29,user88@example.com,User 88,Tanzania,Female,Master,Adisadel College,1997-10-15,26
89,2024-02-19 01:51:29,user89@example.com,User 89,South Africa,Female,Master,St. Augustine's College,1971-05-18,53
90,2024-03-10 01:51:29,user90@example.com,User 90,Tanzania,Female,PhD,Mfantsipim School,2000-12-11,23
91,2023-12-08 01:51:29,user91@example.com,User 91,Kenya,Female,High School,Adisadel College,1991-04-02,33
92,2024-08-17 01:51:29,user92@example.com,User 92,Uganda,Female,Bachelor,Mfantsipim School,1962-11-27,61
93,2024-07-22 01:51:29,user93@example.com,User 93,Ghana,Male,PhD,St. James Seminary,1993-11-26,30
94,2023-11-04 01:51:29,user94@example.com,User 94,Ethiopia,Female,PhD,Wesley Girls High School,2006-01-06,18
95,2024-03-24 01:51:29,user95@example.com,User 95,Uganda,Male,Bachelor,Prempeh College,2001-06-15,23
96,2024-04-16 01:51:29,user96@example.com,User 96,South Africa,Male,PhD,Opoku Ware School,2005-01-24,19
97,2024-08-20 01:51:29,user97@example.com,User 97,Nigeria,Female,Master,Presec Legon,1985-04-19,39
98,2024-06-08 01:51:29,user98@example.com,User 98,Rwanda,Male,Bachelor,St. Augustine's College,1999-05-01,25
99,2024-05-02 01:51:29,user99@example.com,User 99,Nigeria,Female,PhD,St. Augustine's College,1986-09-24,38
100,2024-07-10 01:51:29,user100@example.com,User 100,Rwanda,Male,Bachelor,Holy Child School,1963-09-08,61
101,2024-08-28 01:51:29,user101@example.com,User 101,Uganda,Female,PhD,Wesley Girls High School,1975-04-15,49
102,2024-05-18 01:51:29,user102@example.com,User 102,Uganda,Male,Master,Presec Legon,1968-09-18,56
103,2024-05-11 01:51:29,user103@example.com,User 103,Nigeria,Female,PhD,St. Augustine's College,1994-08-24,30
104,2024-01-23 01:51:29,user104@example.com,User 104,Kenya,Male,Bachelor,Holy Child School,1984-02-25,40
105,2023-10-19 01:51:29,user105@example.com,User 105,Ethiopia,Female,Master,Wesley Girls High School,1992-06-28,32
106,2024-05-23 01:51:29,user106@example.com,User 106,Ethiopia,Female,High School,St. James Seminary,1957-11-18,66
107,2023-10-26 01:51:29,user107@example.com,User 107,South Africa,Male,High School,Holy Child School,1981-11-24,42
108,2023-10-28 01:51:29,user108@example.com,User 108,Ghana,Male,Bachelor,Holy Child School,1968-12-27,55
109,2024-01-28 01:51:29,user109@example.com,User 109,Tanzania,Male,Master,Mfantsipim School,1997-07-07,27
110,2024-09-12 01:51:29,user110@example.com,User 110,Uganda,Male,PhD,Prempeh College,1976-08-24,48
111,2024-05-06 01:51:29,user111@example.com,User 111,Rwanda,Male,Bachelor,Wesley Girls High School,1977-02-25,47
112,2024-08-31 01:51:29,user112@example.com,User 112,Ethiopia,Male,Bachelor,Presec Legon,1998-09-22,26
113,2024-03-04 01:51:29,user113@example.com,User 113,Uganda,Female,PhD,St. Augustine's College,1984-01-17,40
114,2023-11-16 01:51:29,user114@example.com,User 114,Ethiopia,Male,Master,Achimota School,1974-10-23,49
115,2024-02-12 01:51:29,user115@example.com,User 115,Ethiopia,Male,Bachelor,Adisadel College,1966-12-12,57
116,2024-06-05 01:51:29,user116@example.com,User 116,Kenya,Female,High School,St. Augustine's College,1994-04-26,30
117,2024-06-12 01:51:29,user117@example.com,User 117,Nigeria,Female,Bachelor,Holy Child School,1972-03-15,52
118,2024-04-23 01:51:29,user118@example.com,User 118,Ghana,Female,High School,Opoku Ware School,1957-12-10,66
119,2024-09-23 01:51:29,user119@example.com,User 119,South Africa,Female,Master,Achimota School,2000-07-07,24
120,2023-10-23 01:51:29,user120@example.com,User 120,Ethiopia,Female,Master,St. James Seminary,1988-11-03,35
121,2024-07-05 01:51:29,user121@example.com,User 121,Ghana,Female,Master,Presec Legon,1993-07-09,31
122,2024-01-10 01:51:29,user122@example.com,User 122,Ethiopia,Female,High School,Adisadel College,1980-10-12,43
123,2024-05-11 01:51:29,user123@example.com,User 123,Ghana,Female,Bachelor,Achimota School,1992-09-17,32
124,2024-07-25 01:51:29,user124@example.com,User 124,Kenya,Female,PhD,Mfantsipim School,1973-09-29,51
125,2023-10-13 01:51:29,user125@example.com,User 125,Rwanda,Female,Master,Opoku Ware School,1978-12-29,45
126,2024-02-09 01:51:29,user126@example.com,User 126,Kenya,Female,High School,Achimota School,1971-12-26,52
127,2024-08-03 01:51:29,user127@example.com,User 127,Ethiopia,Female,High School,Mfantsipim School,1973-03-15,51
128,2024-01-06 01:51:29,user128@example.com,User 128,Kenya,Female,PhD,Mfantsipim School,1975-06-04,49
129,2023-11-27 01:51:29,user129@example.com,User 129,Tanzania,Female,PhD,Wesley Girls High School,1968-03-24,56
130,2024-07-27 01:51:29,user130@example.com,User 130,Ghana,Female,PhD,Adisadel College,1988-12-19,35
131,2024-02-22 01:51:29,user131@example.com,User 131,Ghana,Male,PhD,Holy Child School,1989-10-03,35
132,2024-02-14 01:51:29,user132@example.com,User 132,Tanzania,Male,High School,St. Augustine's College,1958-08-14,66
133,2024-06-23 01:51:29,user133@example.com,User 133,Ghana,Female,High School,Presec Legon,1996-06-10,28
134,2023-10-17 01:51:29,user134@example.com,User 134,Tanzania,Male,Master,Wesley Girls High School,1967-08-18,57
135,2023-10-15 01:51:29,user135@example.com,User 135,Kenya,Male,High School,Adisadel College,1982-05-18,42
136,2024-02-02 01:51:29,user136@example.com,User 136,Kenya,Male,PhD,Holy Child School,1956-06-13,68
137,2024-07-26 01:51:29,user137@example.com,User 137,Uganda,Female,PhD,Mfantsipim School,1992-02-29,32
138,2024-06-03 01:51:29,user138@example.com,User 138,Kenya,Female,High School,Adisadel College,1994-08-30,30
139,2023-12-25 01:51:29,user139@example.com,User 139,Ethiopia,Female,PhD,St. James Seminary,2002-01-16,22
140,2023-12-04 01:51:29,user140@example.com,User 140,Nigeria,Male,Bachelor,St. James Seminary,1998-03-18,26
141,2024-05-22 01:51:29,user141@example.com,User 141,Kenya,Female,Bachelor,Prempeh College,1974-07-17,50
142,2024-01-14 01:51:29,user142@example.com,User 142,Kenya,Female,Master,Opoku Ware School,1992-12-01,31
143,2024-08-08 01:51:29,user143@example.com,User 143,Rwanda,Female,Bachelor,Adisadel College,1988-04-20,36
144,2023-11-17 01:51:29,user144@example.com,User 144,Ethiopia,Female,Master,St. Augustine's College,1988-10-03,36
145,2024-06-26 01:51:29,user145@example.com,User 145,Ghana,Female,High School,Wesley Girls High School,1990-04-03,34
146,2023-09-30 01:51:29,user146@example.com,User 146,Kenya,Male,Master,Mfantsipim School,2005-02-05,19
147,2024-07-11 01:51:29,user147@example.com,User 147,Kenya,Female,Master,Presec Legon,1961-10-26,62
148,2024-02-17 01:51:29,user148@example.com,User 148,South Africa,Male,High School,Holy Child School,1973-09-01,51
149,2023-11-22 01:51:29,user149@example.com,User 149,Nigeria,Male,High School,Opoku Ware School,1984-05-17,40
150,2024-07-13 01:51:29,user150@example.com,User 150,Tanzania,Female,Master,St. Augustine's College,1982-05-18,42
151,2024-04-25 01:51:29,user151@example.com,User 151,Ghana,Male,High School,St. Augustine's College,1961-11-04,62
152,2023-12-12 01:51:29,user152@example.com,User 152,South Africa,Male,Bachelor,St. Augustine's College,1978-02-20,46
153,2023-10-05 01:51:29,user153@example.com,User 153,Ethiopia,Female,High School,Holy Child School,1984-02-14,40
154,2024-04-24 01:51:29,user154@example.com,User 154,Ghana,Female,PhD,Prempeh College,1978-09-26,46
155,2024-03-23 01:51:29,user155@example.com,User 155,Ghana,Male,PhD,Prempeh College,1994-12-14,29
156,2024-08-04 01:51:29,user156@example.com,User 156,Uganda,Female,Master,Mfantsipim School,1977-06-09,47
157,2023-09-30 01:51:29,user157@example.com,User 157,Ethiopia,Male,PhD,Prempeh College,1993-08-08,31
158,2024-09-01 01:51:29,user158@example.com,User 158,Ghana,Female,PhD,Mfantsipim School,1990-08-21,34
159,2024-09-04 01:51:29,user159@example.com,User 159,Tanzania,Male,Bachelor,Opoku Ware School,1971-09-25,53
160,2024-03-02 01:51:29,user160@example.com,User 160,South Africa,Female,Bachelor,Prempeh College,1972-10-11,51
161,2023-10-08 01:51:29,user161@example.com,User 161,Uganda,Female,PhD,Holy Child School,2005-08-07,19
162,2024-07-25 01:51:29,user162@example.com,User 162,Tanzania,Female,PhD,Opoku Ware School,1975-06-12,49
163,2023-11-20 01:51:29,user163@example.com,User 163,Nigeria,Male,Bachelor,Achimota School,1999-05-26,25
164,2024-06-27 01:51:29,user164@example.com,User 164,Nigeria,Female,Master,Adisadel College,1985-12-15,38
165,2023-11-17 01:51:29,user165@example.com,User 165,Uganda,Female,Bachelor,Opoku Ware School,1965-11-24,58
166,2024-08-15 01:51:29,user166@example.com,User 166,Tanzania,Male,PhD,Presec Legon,1972-04-11,52
167,2024-02-13 01:51:29,user167@example.com,User 167,Rwanda,Female,High School,Wesley Girls High School,1966-05-16,58
168,2024-09-21 01:51:29,user168@example.com,User 168,Ethiopia,Female,High School,Presec Legon,1998-06-21,26
169,2023-09-28 01:51:29,user169@example.com,User 169,Uganda,Female,PhD,Presec Legon,1995-04-06,29
170,2024-05-07 01:51:29,user170@example.com,User 170,Nigeria,Male,Master,Wesley Girls High School,1984-09-18,40
171,2024-02-05 01:51:29,user171@example.com,User 171,Tanzania,Female,High School,Mfantsipim School,1978-07-25,46
172,2024-05-07 01:51:29,user172@example.com,User 172,Nigeria,Female,High School,St. James Seminary,1971-11-18,52
173,2023-10-07 01:51:29,user173@example.com,User 173,Nigeria,Female,PhD,Presec Legon,1997-01-27,27
174,2024-07-17 01:51:29,user174@example.com,User 174,South Africa,Male,PhD,St. Augustine's College,2003-07-03,21
175,2023-12-19 01:51:29,user175@example.com,User 175,Kenya,Female,PhD,Prempeh College,1969-03-15,55
176,2024-07-03 01:51:29,user176@example.com,User 176,Ethiopia,Female,High School,St. James Seminary,1993-06-20,31
177,2024-05-23 01:51:29,user177@example.com,User 177,South Africa,Male,PhD,St. Augustine's College,1987-09-17,37
178,2024-01-05 01:51:29,user178@example.com,User 178,Tanzania,Female,Bachelor,Opoku Ware School,2006-09-10,18
179,2024-01-16 01:51:29,user179@example.com,User 179,Ghana,Female,High School,Prempeh College,1963-09-10,61
180,2024-01-15 01:51:29,user180@example.com,User 180,Rwanda,Female,PhD,Mfantsipim School,1994-07-27,30
181,2024-07-19 01:51:29,user181@example.com,User 181,Kenya,Male,PhD,St. Augustine's College,1986-07-19,38
182,2023-12-12 01:51:29,user182@example.com,User 182,Tanzania,Female,PhD,Wesley Girls High School,1969-08-02,55
183,2024-07-05 01:51:29,user183@example.com,User 183,South Africa,Female,High School,Presec Legon,1987-01-27,37
184,2024-08-23 01:51:29,user184@example.com,User 184,Rwanda,Male,Master,Presec Legon,2006-04-01,18
185,2023-11-11 01:51:29,user185@example.com,User 185,Uganda,Male,Master,Holy Child School,1973-04-28,51
186,2024-04-10 01:51:29,user186@example.com,User 186,Rwanda,Female,PhD,Holy Child School,1978-10-16,45
187,2024-09-07 01:51:29,user187@example.com,User 187,South Africa,Male,High School,Achimota School,1987-09-03,37
188,2024-06-24 01:51:29,user188@example.com,User 188,Uganda,Female,PhD,Prempeh College,1966-09-25,58
189,2024-09-04 01:51:29,user189@example.com,User 189,Tanzania,Female,Bachelor,St. Augustine's College,1994-12-08,29
190,2024-04-17 01:51:29,user190@example.com,User 190,South Africa,Female,Master,St. Augustine's College,1981-02-02,43
191,2024-01-09 01:51:29,user191@example.com,User 191,Ghana,Male,Master,Prempeh College,1959-09-11,65
192,2023-11-24 01:51:29,user192@example.com,User 192,Nigeria,Male,Master,Holy Child School,2004-01-04,20
193,2024-05-27 01:51:29,user193@example.com,User 193,Nigeria,Female,Master,St. James Seminary,2002-02-13,22
194,2024-07-03 01:51:29,user194@example.com,User 194,Uganda,Male,Bachelor,Mfantsipim School,1955-10-08,69
195,2024-06-18 01:51:29,user195@example.com,User 195,Rwanda,Female,PhD,Mfantsipim School,1979-01-14,45
196,2024-03-13 01:51:29,user196@example.com,User 196,Tanzania,Male,PhD,Adisadel College,1997-05-04,27
197,2024-07-22 01:51:29,user197@example.com,User 197,Ethiopia,Male,Bachelor,Achimota School,1997-05-07,27
198,2023-11-25 01:51:29,user198@example.com,User 198,Uganda,Female,PhD,St. Augustine's College,1986-11-04,37
199,2023-12-23 01:51:29,user199@example.com,User 199,Ghana,Male,High School,St. James Seminary,1964-05-18,60
200,2024-06-08 01:51:29,user200@example.com,User 200,Uganda,Female,High School,Adisadel College,1979-10-15,44
201,2024-09-23 01:51:29,user201@example.com,User 201,Ethiopia,Male,Bachelor,Adisadel College,1958-05-02,66
202,2024-03-18 01:51:29,user202@example.com,User 202,South Africa,Female,High School,Achimota School,1995-08-30,29
203,2024-04-21 01:51:29,user203@example.com,User 203,Nigeria,Female,Master,Adisadel College,1971-06-10,53
204,2023-11-05 01:51:29,user204@example.com,User 204,Ethiopia,Male,Master,Opoku Ware School,2006-06-11,18
205,2024-07-07 01:51:29,user205@example.com,User 205,Tanzania,Female,High School,St. Augustine's College,1963-10-27,60
206,2024-08-12 01:51:29,user206@example.com,User 206,South Africa,Male,PhD,Opoku Ware School,1998-03-19,26
207,2024-06-16 01:51:29,user207@example.com,User 207,Ethiopia,Male,Bachelor,St. Augustine's College,1956-06-13,68
208,2024-02-15 01:51:29,user208@example.com,User 208,Tanzania,Male,Master,St. Augustine's College,1986-05-10,38
209,2024-06-24 01:51:29,user209@example.com,User 209,Kenya,Female,High School,Prempeh College,1997-12-09,26
210,2024-09-04 01:51:29,user210@example.com,User 210,Uganda,Male,Master,Opoku Ware School,1981-11-14,42
211,2024-02-14 01:51:29,user211@example.com,User 211,Nigeria,Male,Master,St. James Seminary,1984-08-13,40
212,2024-03-27 01:51:29,user212@example.com,User 212,Ethiopia,Male,PhD,St. Augustine's College,1991-07-24,33
213,2024-09-03 01:51:29,user213@example.com,User 213,Ethiopia,Male,PhD,Holy Child School,1983-10-30,40
214,2024-02-20 01:51:29,user214@example.com,User 214,Uganda,Female,Bachelor,Mfantsipim School,1998-04-05,26
215,2024-03-18 01:51:29,user215@example.com,User 215,South Africa,Male,PhD,Adisadel College,1987-05-20,37
216,2023-10-31 01:51:29,user216@example.com,User 216,Ghana,Male,Bachelor,Wesley Girls High School,1998-12-30,25
217,2024-07-04 01:51:29,user217@example.com,User 217,South Africa,Female,Master,Presec Legon,1958-12-23,65
218,2024-06-24 01:51:29,user218@example.com,User 218,Kenya,Female,Master,St. Augustine's College,1963-11-06,60
219,2024-04-25 01:51:29,user219@example.com,User 219,Ethiopia,Female,Master,Wesley Girls High School,1968-02-09,56
220,2024-09-03 01:51:29,user220@example.com,User 220,Tanzania,Female,PhD,Presec Legon,1997-12-03,26
221,2024-07-22 01:51:29,user221@example.com,User 221,Kenya,Male,Bachelor,Achimota School,1999-05-09,25
222,2024-06-03 01:51:29,user222@example.com,User 222,South Africa,Female,Master,Presec Legon,1983-07-14,41
223,2023-12-03 01:51:29,user223@example.com,User 223,Uganda,Female,PhD,Achimota School,1975-03-18,49
224,2024-05-07 01:51:29,user224@example.com,User 224,Kenya,Male,High School,Prempeh College,1992-12-31,31
225,2024-04-12 01:51:29,user225@example.com,User 225,Uganda,Male,PhD,Mfantsipim School,1999-09-05,25
226,2024-05-18 01:51:29,user226@example.com,User 226,Rwanda,Female,PhD,Adisadel College,1973-03-06,51
227,2024-08-03 01:51:29,user227@example.com,User 227,Ghana,Female,PhD,St. Augustine's College,1963-05-13,61
228,2024-06-30 01:51:29,user228@example.com,User 228,Ethiopia,Female,Master,Mfantsipim School,1980-05-24,44
229,2023-12-14 01:51:29,user229@example.com,User 229,Ethiopia,Male,PhD,Prempeh College,1998-10-23,25
230,2023-10-01 01:51:29,user230@example.com,User 230,Uganda,Female,Master,Holy Child School,1982-06-05,42
231,2024-08-17 01:51:29,user231@example.com,User 231,Ghana,Female,PhD,Holy Child School,1989-07-18,35
232,2024-06-01 01:51:29,user232@example.com,User 232,South Africa,Female,High School,Prempeh College,1979-11-17,44
233,2023-10-03 01:51:29,user233@example.com,User 233,South Africa,Male,Master,Opoku Ware School,1996-03-08,28
234,2024-09-21 01:51:29,user234@example.com,User 234,Uganda,Male,PhD,Mfantsipim School,1971-12-25,52
235,2023-10-28 01:51:29,user235@example.com,User 235,Nigeria,Female,PhD,Prempeh College,1980-11-26,43
236,2023-11-13 01:51:29,user236@example.com,User 236,Ghana,Female,High School,Presec Legon,2001-09-06,23
237,2023-12-19 01:51:29,user237@example.com,User 237,Tanzania,Female,Bachelor,Wesley Girls High School,1961-07-06,63
238,2023-11-23 01:51:29,user238@example.com,User 238,Ethiopia,Male,High School,Wesley Girls High School,1961-09-29,63
239,2024-07-04 01:51:29,user239@example.com,User 239,Ethiopia,Female,High School,Holy Child School,1972-12-08,51
240,2024-02-22 01:51:29,user240@example.com,User 240,South Africa,Male,PhD,Presec Legon,1981-02-15,43
241,2024-06-04 01:51:29,user241@example.com,User 241,Kenya,Female,High School,St. Augustine's College,1985-11-02,38
242,2024-05-25 01:51:29,user242@example.com,User 242,Ethiopia,Male,Master,Prempeh College,1968-08-17,56
243,2024-06-18 01:51:29,user243@example.com,User 243,Tanzania,Male,PhD,Adisadel College,1990-08-17,34
244,2024-05-11 01:51:29,user244@example.com,User 244,Tanzania,Male,PhD,St. James Seminary,1959-05-28,65
245,2024-04-07 01:51:29,user245@example.com,User 245,Ghana,Female,Master,Adisadel College,1965-04-28,59
246,2024-05-12 01:51:29,user246@example.com,User 246,Rwanda,Female,Master,Achimota School,1989-11-12,34
247,2024-05-30 01:51:29,user247@example.com,User 247,Ethiopia,Male,High School,Achimota School,1993-10-19,30
248,2024-02-13 01:51:29,user248@example.com,User 248,Nigeria,Male,Bachelor,St. Augustine's College,2000-06-05,24
249,2023-10-01 01:51:29,user249@example.com,User 249,Kenya,Female,Master,Prempeh College,1986-10-14,37
250,2023-11-15 01:51:29,user250@example.com,User 250,Nigeria,Female,High School,Opoku Ware School,1992-02-02,32
251,2024-09-16 01:51:29,user251@example.com,User 251,Rwanda,Female,Bachelor,Presec Legon,1961-10-30,62
